Id,Name,Position,Ranking_position,Matches_played,Matches_played_%,Usually_starting,Goals_OR_saved_penalties,Penalty_goals_OR_clean_sheets,Assists,Yellow_cards,Red_cards,Points,Average_points,Points_last_5_games,Average_points_last_5_games,Current_price,Max_price,Min_price
3259,Fernando Martínez,PT,9,11,91.67,True,1,0,0,0,0,49,4.5,"['2', '-', '8', '2', '4']",4.0,2880000,3720000,1000000
1983,Pacheco,PT,29,1,8.33,False,0,0,0,0,0,4,4,"['-', '4', '-', '-', '-']",4.0,1440000,3490000,1330000
2365,Rodrigo Ely,DF,23,12,100.00,True,0,0,0,2,0,47,3.9,"['4', '3', '3', '4', '4']",3.6,3130000,3170000,720000
2589,Akieme,DF,34,12,100.00,True,0,0,0,3,0,43,3.6,"['2', '5', '3', '0', '3']",2.6,3360000,3580000,650000
3263,Babic,DF,47,11,91.67,True,1,0,0,0,0,38,3.5,"['4', '-', '2', '2', '11']",4.8,2380000,2570000,1250000
2407,Álex Pozo,DF,78,9,75.00,False,0,0,1,0,0,29,3.2,"['8', '1', '2', '1', '2']",2.8,1150000,1880000,380000
3301,Kaiky,DF,113,7,58.33,False,0,0,0,4,0,18,2.6,"['-', '5', '-', '-', '0']",2.5,1550000,2600000,500000
3261,Chumi,DF,118,6,50.00,False,0,0,0,1,0,17,2.8,"['-', '4', '2', '-', '-']",3.0,730000,950000,520000
3290,Mendes,DF,136,6,50.00,True,0,0,1,0,0,10,1.7,"['3', '-', '2', '1', '4']",2.5,860000,1030000,500000
3262,Juanjo Nieto,DF,173,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,290000,530000,220000
3274,Iván Martos,DF,175,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,260000,260000,160000
3273,Álex Centelles,DF,181,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,260000,370000,230000
3266,Robertone,MD,20,12,100.00,True,1,0,1,2,0,61,5.1,"['8', '5', '4', '3', '10']",6.0,4760000,4880000,1500000
3268,Ramazani,MD,45,12,100.00,False,2,0,0,3,0,45,3.8,"['4', '2', '1', '3', '2']",2.4,5840000,6900000,1500000
1788,Embarba,MD,53,9,75.00,True,1,0,2,2,0,43,4.8,"['4', '5', '8', '-', '8']",6.2,2490000,9000000,1040000
3265,Eguaras,MD,68,9,75.00,False,1,0,1,2,0,41,4.6,"['11', '5', '-', '3', '2']",5.2,2070000,2730000,590000
2581,Melero,MD,79,6,50.00,True,1,0,2,2,0,37,6.2,"['2', '10', '4', '8', '9']",6.6,3640000,5090000,1000000
3264,Samu Costa,MD,99,9,75.00,False,0,0,0,3,0,29,3.2,"['-', '-', '1', '-', '2']",1.5,1670000,2480000,950000
3275,De la Hoz,MD,100,7,58.33,True,1,0,0,3,0,28,4,"['13', '0', '4', '3', '4']",4.8,1200000,1290000,640000
3343,Lázaro Vinicius,MD,123,6,50.00,False,1,0,0,0,0,21,3.5,"['10', '2', '-', '2', '-']",4.7,1290000,1780000,750000
1113,Francisco Portillo,MD,137,8,66.67,False,0,0,0,0,0,18,2.3,"['-', '-', '2', '4', '-']",3.0,1050000,1980000,910000
3267,Arnau Puigmal,MD,162,7,58.33,False,0,0,0,3,0,8,1.1,"['-', '2', '-', '0', '-']",1.0,530000,970000,510000
3284,Gui Guedes,MD,192,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,450000,1150000,450000
3291,Svidersky,MD,193,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,420000,1330000,420000
3342,El Bilal Touré,DL,30,7,58.33,True,3,0,1,0,0,38,5.4,"['4', '3', '9', '9', '9']",6.8,5670000,5670000,1750000
1568,Leo Baptistão,DL,32,9,75.00,True,1,0,2,2,0,37,4.1,"['7', '1', '10', '4', '4']",5.2,4090000,4490000,1500000
3271,Dyego Sousa,DL,49,8,66.67,False,0,0,1,1,0,26,3.3,"['6', '-', '-', '2', '-']",4.0,1570000,1890000,500000
3297,Milovanovic,DL,84,2,16.67,False,0,0,0,1,0,4,2,"['-', '-', '-', '-', '-']",0.0,800000,1910000,600000
2669,Unai Simón,PT,8,12,100.00,True,0,5,0,1,0,49,4.1,"['8', '-1', '1', '2', '4']",2.8,4300000,5130000,3030000
3140,Agirrezabala,PT,34,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,340000,670000,250000
3309,Ander Iru,PT,39,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,250000,480000,160000
2326,Yeray Álvarez,DF,5,10,83.33,True,0,0,1,2,0,57,5.7,"['7', '2', '-', '8', '5']",5.5,5120000,5560000,1530000
1032,De Marcos,DF,12,12,100.00,True,0,0,2,2,0,53,4.4,"['2', '-1', '2', '4', '5']",2.4,5860000,5980000,1120000
2140,Lekue,DF,53,10,83.33,False,0,0,1,1,0,36,3.6,"['4', '2', '0', '4', '2']",2.4,2350000,3160000,610000
1424,Iñigo Martínez,DF,54,8,66.67,True,0,0,0,1,0,35,4.4,"['6', '0', '6', '2', '5']",3.8,7370000,7770000,4060000
2968,Daniel Vivian,DF,81,7,58.33,False,0,0,0,1,0,28,4,"['-', '-', '3', '2', '-']",2.5,2470000,4380000,1880000
1074,Yuri Berchiche,DF,92,5,41.67,True,0,0,0,1,0,23,4.6,"['7', '-1', '3', '-', '-']",3.0,5320000,5920000,1430000
3331,Aitor Paredes,DF,154,1,8.33,False,0,0,0,0,0,3,3,"['-', '-', '-', '-', '-']",0.0,360000,380000,160000
1866,Capa,DF,165,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,550000,1300000,450000
937,Balenziaga,DF,172,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,350000,2350000,300000
2241,Álex Berenguer,MD,10,12,100.00,True,3,0,1,0,0,74,6.2,"['6', '2', '2', '3', '4']",3.4,10690000,11700000,2750000
3084,Nico Williams,MD,13,12,100.00,True,3,0,3,0,0,71,5.9,"['6', '0', '3', '-1', '2']",2.0,15130000,15750000,2100000
2305,Mikel Vesga,MD,17,11,91.67,True,2,1,1,2,0,62,5.6,"['5', '1', '5', '5', '9']",5.0,6550000,6550000,680000
1053,Muniain,MD,36,10,83.33,False,0,0,0,1,0,49,4.9,"['-', '-', '2', '4', '9']",5.0,12460000,14090000,6100000
1864,Dani García,MD,112,8,66.67,False,0,0,1,1,0,24,3,"['-', '2', '2', '4', '4']",3.0,1420000,1950000,520000
3030,Zarraga,MD,142,8,66.67,False,0,0,0,1,0,15,1.9,"['-', '0', '2', '2', '-']",1.3,610000,1280000,500000
2994,Jon Morcillo,MD,148,7,58.33,False,0,0,1,0,0,13,1.9,"['2', '-', '-', '-', '2']",2.0,530000,630000,250000
2907,Unai Vencedor,MD,155,4,33.33,False,0,0,0,1,0,11,2.8,"['4', '3', '-', '-', '-']",3.5,1140000,3590000,1140000
1016,Ander Herrera,MD,154,5,41.67,False,0,0,1,1,1,11,2.2,"['-', '1', '6', '-', '-1']",2.0,5500000,7910000,1500000
3316,Malcom Adu,MD,181,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,310000,440000,160000
1995,Williams,DL,12,12,100.00,True,5,0,1,0,0,68,5.7,"['10', '2', '10', '1', '0']",4.6,11910000,12700000,5410000
2662,Sancet,DL,20,12,100.00,True,3,1,0,2,0,51,4.3,"['6', '3', '1', '2', '3']",3.0,6300000,6930000,2120000
415,Raúl García,DL,31,11,91.67,True,1,0,1,1,0,38,3.5,"['6', '3', '9', '3', '3']",4.8,2560000,6130000,2240000
2664,Guruzeta,DL,54,5,41.67,False,2,0,0,0,0,24,4.8,"['2', '-', '-', '-', '-']",2.0,1570000,2460000,350000
2338,Villalibre,DL,79,3,25.00,False,0,0,0,0,0,8,2.7,"['-', '-', '-', '2', '-']",2.0,1290000,2080000,660000
1897,Oblak,PT,15,10,83.33,True,0,3,0,1,0,42,4.2,"['2', '4', '-', '3', '3']",3.0,4930000,6620000,3600000
2971,Ivo Grbic,PT,24,4,33.33,False,0,0,0,1,0,11,2.8,"['-', '-', '2', '4', '-']",3.0,670000,710000,210000
3232,Reinildo Mandava,DF,9,12,100.00,True,0,0,0,2,0,55,4.6,"['1', '2', '4', '10', '4']",4.2,5670000,6210000,1500000
1676,José Giménez,DF,39,8,66.67,True,0,0,0,4,0,40,5,"['-', '4', '2', '5', '5']",4.0,4610000,5570000,3070000
2109,Savic,DF,57,8,66.67,True,0,0,0,2,0,35,4.4,"['4', '4', '5', '5', '2']",4.0,5140000,5510000,2050000
3305,Nahuel Molina,DF,80,9,75.00,True,0,0,0,1,1,28,3.1,"['2', '2', '4', '6', '4']",3.6,4240000,9290000,2500000
2434,Mario Hermoso,DF,125,3,25.00,False,1,0,0,1,0,14,4.7,"['-', '-', '-', '-', '-']",0.0,1120000,3760000,980000
2776,Felipe,DF,156,1,8.33,False,0,0,0,0,0,2,2,"['-', '-', '-', '-', '-']",0.0,750000,3120000,750000
2683,Reguilón,DF,162,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,1990000,2710000,1780000
1846,Rodrigo de Paul,MD,31,10,83.33,True,1,0,1,1,0,53,5.3,"['6', '4', '3', '2', '-']",3.8,6050000,9900000,4520000
3289,Witsel,MD,39,12,100.00,True,0,0,0,2,0,48,4,"['1', '5', '6', '4', '5']",4.2,4330000,6910000,2000000
1555,Kondogbia,MD,47,10,83.33,False,0,0,1,2,0,44,4.4,"['2', '6', '8', '8', '2']",5.2,4970000,5030000,2470000
2095,Ferreira Carrasco,MD,50,11,91.67,True,1,0,0,1,0,43,3.9,"['3', '0', '3', '-', '4']",2.5,7530000,12410000,5740000
1746,Saúl Ñíguez,MD,71,11,91.67,False,0,0,1,5,0,40,3.6,"['7', '8', '1', '2', '2']",4.0,3190000,3990000,1920000
1083,Koke,MD,77,9,75.00,False,0,0,2,2,0,37,4.1,"['-', '-', '-', '4', '3']",3.5,4780000,7650000,2910000
2158,Marcos Llorente,MD,82,6,50.00,True,1,0,0,1,0,36,6,"['-', '-', '-', '-', '-']",0.0,7110000,11680000,4070000
2596,Lemar,MD,96,7,58.33,False,0,0,1,0,0,29,4.1,"['-', '-', '2', '2', '4']",2.7,3790000,8670000,1970000
3357,Pablo Barrios,MD,179,1,8.33,False,0,0,0,0,0,2,2,"['2', '-', '-', '-', '-']",2.0,420000,420000,160000
3182,Carlos Martín,MD,208,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,210000,410000,160000
1153,Griezmann,DL,4,12,100.00,True,5,0,3,0,0,92,7.7,"['5', '17', '11', '10', '8']",10.2,20640000,20710000,7270000
1254,Morata,DL,9,12,100.00,False,5,0,1,3,0,79,6.6,"['4', '2', '10', '5', '3']",4.8,15630000,19420000,3510000
1870,Correa,DL,22,12,100.00,True,3,0,0,0,0,49,4.1,"['2', '4', '2', '1', '17']",5.2,7600000,12920000,5330000
2792,João Félix,DL,24,11,91.67,False,2,0,3,4,0,47,4.3,"['16', '1', '-', '2', '1']",5.0,11370000,21030000,7020000
3156,Matheus Cunha,DL,38,10,83.33,False,0,0,2,2,0,34,3.4,"['1', '5', '5', '-', '2']",3.2,4380000,8330000,3070000
1852,Ter Stegen,PT,1,12,100.00,True,0,10,0,0,0,80,6.7,"['8', '5', '6', '-1', '9']",5.4,7120000,7730000,3700000
3257,Iñaki Peña,PT,31,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,480000,800000,160000
3100,Eric García,DF,21,9,75.00,True,1,0,0,2,0,48,5.3,"['2', '9', '-', '0', '5']",4.0,4570000,4900000,1480000
3170,Alejandro Balde,DF,19,10,83.33,True,0,0,3,1,0,48,4.8,"['4', '8', '-', '2', '3']",4.2,5360000,5440000,310000
2818,Kounde,DF,26,7,58.33,True,0,0,2,0,0,46,6.6,"['6', '2', '6', '4', '-']",4.5,11280000,12010000,4900000
987,Jordi Alba,DF,33,8,66.67,False,0,0,1,1,0,43,5.4,"['7', '-', '11', '2', '8']",7.0,4400000,12830000,3830000
2866,Ronald Araujo,DF,79,6,50.00,False,0,0,0,3,0,28,4.7,"['-', '-', '-', '-', '-']",0.0,4810000,9890000,4580000
140,Piqué,DF,89,5,41.67,False,0,0,0,3,0,24,4.8,"['1', '-', '3', '-', '8']",4.0,3540000,6900000,2310000
3345,Marcos Alonso,DF,93,5,41.67,False,0,0,0,1,0,23,4.6,"['3', '3', '8', '-', '7']",5.2,3950000,4730000,2000000
3244,Christensen,DF,116,3,25.00,False,0,0,0,1,0,17,5.7,"['-', '-', '-', '-', '-']",0.0,3080000,5260000,2500000
3164,Héctor Bellerín,DF,130,3,25.00,True,0,0,0,0,0,12,4,"['-', '-', '2', '-', '-']",2.0,4050000,4980000,1500000
2969,Pedri,MD,4,12,100.00,True,2,0,0,0,0,81,6.8,"['9', '3', '7', '4', '13']",7.2,18400000,23280000,6780000
2761,De Jong,MD,15,11,91.67,True,1,0,0,0,0,65,5.9,"['2', '5', '9', '4', '4']",4.8,10550000,14280000,5240000
938,Sergio Busquets,MD,25,10,83.33,True,0,0,0,4,0,55,5.5,"['5', '7', '3', '5', '6']",5.2,9170000,11160000,7290000
3160,Gavi,MD,28,12,100.00,False,0,0,1,2,0,53,4.4,"['2', '2', '8', '2', '6']",4.0,11060000,12510000,5930000
1342,Sergi Roberto,MD,38,9,75.00,False,2,0,0,1,0,49,5.4,"['-', '14', '4', '2', '2']",5.5,1890000,3730000,510000
3286,Kessié,MD,127,7,58.33,False,0,0,0,3,0,20,2.9,"['-', '5', '-', '2', '-']",3.5,3230000,7860000,3230000
3355,Pablo Torre,MD,176,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,670000,690000,160000
3207,Álvaro Sanz,MD,199,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,240000,300000,160000
3300,Lewandowski,DL,1,12,100.00,True,13,0,4,0,0,137,11.4,"['11', '14', '16', '5', '4']",10.0,34940000,40010000,12500000
2476,Dembélé,DL,7,12,100.00,True,3,0,5,2,0,83,6.9,"['4', '20', '3', '2', '3']",6.4,21360000,26050000,6640000
3298,Raphinha,DL,11,11,91.67,False,1,0,2,1,0,69,6.3,"['6', '-', '1', '8', '7']",5.5,19580000,23870000,7000000
2856,Ansu Fati,DL,13,12,100.00,True,3,0,3,0,0,63,5.3,"['2', '2', '10', '5', '2']",4.2,16820000,20140000,8440000
2505,Ferrán Torres,DL,29,11,91.67,False,2,0,0,2,0,39,3.5,"['4', '8', '4', '9', '2']",5.4,6270000,23440000,5490000
3104,Depay,DL,70,2,16.67,False,1,0,0,0,0,13,6.5,"['-', '-', '-', '-', '-']",0.0,2780000,23350000,2780000
3181,Ilias Akhomach,DL,97,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,410000,1550000,160000
3209,Estanis,DL,99,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,250000,350000,160000
2360,Rui Silva,PT,3,11,91.67,True,0,5,0,2,0,66,6,"['13', '0', '-', '5', '8']",6.5,4790000,5040000,1130000
201,Claudio Bravo,PT,26,1,8.33,False,0,1,0,0,0,9,9,"['-', '-', '9', '-', '-']",9.0,860000,1650000,570000
2836,Dani Martín,PT,46,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0.0,180000,260000,160000
1908,Álex Moreno,DF,22,11,91.67,True,0,0,3,0,0,47,4.3,"['12', '4', '-', '5', '5']",6.5,4790000,6180000,2080000
2869,Édgar González,DF,28,9,75.00,True,0,0,0,2,0,44,4.9,"['4', '-', '4', '-', '4']",4.0,3680000,4130000,700000
2094,Pezzella,DF,48,10,83.33,True,0,0,0,2,2,37,3.7,"['6', '2', '7', '-', '-6']",2.2,4010000,4160000,750000
3101,Sabaly,DF,83,7,58.33,True,0,0,0,0,0,27,3.9,"['2', '1', '3', '5', '3']",2.8,2760000,3040000,610000
3288,Luiz Felipe,DF,100,7,58.33,False,0,0,0,0,1,20,2.9,"['-', '2', '-', '2', '-']",2.0,3540000,5660000,1000000
1097,Víctor Ruiz,DF,128,3,25.00,False,0,0,0,0,0,13,4.3,"['-', '4', '-', '4', '5']",4.3,970000,2750000,420000
1325,Martín Montoya,DF,131,3,25.00,False,0,0,0,0,0,12,4,"['-', '-', '-', '-', '3']",3.0,620000,2470000,250000
2985,Juan Miranda,DF,152,0,0.00,False,0,0,0,0,0,0,0,"['-', '-', '4', '-', '-']",4.0,490000,1220000,440000
3319,Fran Delgado,DF,161,0,0.00,False,0,0,0,0,0,2,0,"['-', '-', '-', '-', '-']",0.0,240000,300000,160000
2628,William Carvalho,MD,21,11,91.67,True,2,0,0,2,0,59,5.4,"['2', '2', '4', '19', '2']",5.8,8200000,8200000,2870000
