Id,Name,Position,Ranking_position,Matches_played,Matches_played_percentage,Usually_starting,Goals_OR_saved_penalties,Penalty_goals_OR_clean_sheets,Assists,Yellow_cards,Red_cards,Points,Average_points,Current_price,Max_price,Min_price,Average_points_last_5_games,J-4,J-3,J-2,J-1,Actual_match_day
3259,Fernando Martínez,0,6,13,92.86,1,1,1,0,1,0,67,5.2,2690000,3720000,1000000,5.6,8,-50,2,11,7
1983,Pacheco,0,29,1,7.14,0,0,0,0,0,0,4,4,1180000,3130000,1180000,0.8,-50,4,-50,-50,-50
2365,Rodrigo Ely,1,31,14,100.00,0,0,0,0,2,0,50,3.6,2130000,3170000,720000,2.6,3,3,4,3,0
2589,Akieme,1,37,14,100.00,1,0,0,0,3,0,48,3.4,2480000,3580000,650000,3.0,3,5,2,1,4
3263,Babic,1,43,13,92.86,1,1,0,0,1,0,45,3.5,1930000,2570000,1250000,2.6,2,-50,4,0,7
2407,Álex Pozo,1,73,10,71.43,1,0,0,1,0,0,36,3.6,1080000,1880000,380000,3.6,2,1,8,-50,7
3301,Kaiky,1,108,8,57.14,1,0,0,0,5,0,23,2.9,1210000,2600000,500000,2.0,-50,5,-50,5,-50
3261,Chumi,1,122,7,50.00,0,0,0,0,1,0,18,2.6,610000,950000,520000,1.4,2,4,-50,1,-50
3290,Mendes,1,141,7,50.00,0,0,0,1,0,0,9,1.3,890000,1060000,500000,0.8,2,-50,3,-1,-50
3262,Juanjo Nieto,1,172,0,0.00,0,0,0,0,0,0,0,0,280000,530000,220000,0.0,-50,-50,-50,-50,-50
3274,Iván Martos,1,173,0,0.00,0,0,0,0,0,0,0,0,260000,270000,160000,0.0,-50,-50,-50,-50,-50
3273,Álex Centelles,1,180,0,0.00,0,0,0,0,0,0,0,0,250000,370000,230000,0.0,-50,-50,-50,-50,-50
3266,Robertone,2,17,14,100.00,1,1,0,1,3,0,71,5.1,4300000,4880000,1500000,5.4,4,5,8,5,5
1788,Embarba,2,60,10,71.43,1,1,0,3,2,0,47,4.7,2060000,8120000,1040000,4.2,8,5,4,-50,4
3265,Eguaras,2,67,11,78.57,0,1,0,1,2,0,46,4.2,1930000,2730000,590000,4.2,-50,5,11,2,3
