Linear regression accuracy is --> 86.1821 %

     Actual  Predicted
0         7  13.934170
1       -50 -45.990423
2         0  -4.685812
3         4   2.907584
4         7   0.327662
5         7  -7.427800
6       -50  -9.665701
7       -50 -20.833094
8       -50 -25.909799
9       -50 -50.302986
10      -50 -50.260554
11      -50 -50.272643
12        5  10.255328
13        4 -10.794385
14        3  -3.369294
15        2 -13.415946
16        2 -11.970959
17        1  -7.955370
18        2  -9.916703
19      -50 -26.573698
20      -50 -15.496247
21      -50 -50.470345
22      -50 -50.556613
23       10  12.856421
24        2  -6.719089
25        4 -13.590032
26        4 -11.737262
27      -50 -43.482260
28        5   2.175549
29      -50 -50.053312
30      -50 -49.957533
31        3 -12.680933
32        2 -15.465419
33        7  -9.404208
34       12 -12.109441
35      -50 -12.305801
36      -50 -26.518560
37      -50 -47.767267
38      -50 -44.981677
39      -50 -51.394120
40      -50 -22.114809
41        2 -15.222636
42        6  -9.345925
43        5  -0.596748
44        5 -19.688275
45      -50 -28.640050
46      -50 -17.125690
47        2 -26.444431
48        4 -20.562890
49        0 -25.330782
50      -50 -50.380398
51        5  11.365702
52       16  -2.863371
53        3  11.063685
54        3 -35.437291
55        2 -15.017652
56      -50 -35.565056
57        3  -2.902015
58      -50 -13.649989
59        2  -4.463999
60        2  -1.532206
61      -50 -45.191546
62        6 -36.795927
63        5 -40.584422
64        5  -4.131958
65        5   3.533696
66        2  -7.442127
67      -50  -5.153595
68        3 -23.908659
69        3 -24.957023
70      -50  -8.736970
71        2 -15.597183
72      -50 -50.095416
73      -50 -50.534158
74       10  27.115597
75        1  -6.771583
76      -50   3.894927
77        3  -5.009264
78      -50 -12.379369
79        2  -5.120561
80      -50 -50.006872
81        5  -0.147104
82        4   8.531190
83      -50 -13.135872
84      -50 -27.534010
85      -50 -30.942367
86        5  -2.036664
87      -50 -34.683263
88        2 -31.693888
89      -50 -40.580257
90       11  15.078507
91        8  14.779356
92        3   4.568760
93        4   3.652092
94      -50 -25.907635
95      -50 -50.327206
96      -50 -50.481848
97       -4 -11.041865
98        4  15.962303
99       11 -10.854439
100       4  -3.040457
101       2  12.041293
102     -50 -52.759353
103     -50 -50.655742
104     -50 -50.357287
105       2 -20.852333
106     -50 -26.601078
107     -50 -50.291594
108      -2  -2.737951
109      -4 -13.637772
110       2   6.649333
111       5 -15.898061
112     -50 -31.774334
113       2 -34.676772
114     -50 -45.847633
115     -50 -43.913436
116     -50 -51.228075
117       2 -10.003550
118       5   6.051224
119       0 -17.731522
120       2   5.961043
121       1 -16.862130
122      -1  -8.651967
123     -50 -19.830698
124     -50 -10.977993
125     -50 -33.565531
126       3 -28.579333
127       2 -29.123397
128     -50 -51.627510
129     -50 -35.802091
130       3 -18.297934
131     -50 -44.444740
132     -50 -44.625525
133       3   3.695634
134     -50 -50.207289
135     -50 -18.445243
136     -50 -19.953562
137       1   2.926130
138       1 -10.228591
139     -50 -16.268900
140       4 -22.267962
141     -50 -35.366050
142       1 -32.540374
143     -50 -32.704543
144       2   6.860933
145       2   5.221458
146       4 -18.146897
147       2 -13.757754
148       1  -1.248500
149       0  -5.786466
150       1  -7.522988
151     -50 -38.074366
152     -50 -41.973308
153     -50 -37.805122
154     -50 -44.048004
155     -50 -50.569850
156     -50 -50.679292
157       9   6.074422
158       5 -23.988890
159       1   0.444654
160       2  -0.474156
161     -50 -48.246824
162     -50 -50.411445
163       9   0.396330
164     -50 -50.663579
165       7  15.200859
166       5   0.803292
167      10   5.014288
168     -50 -13.606009
169       5   0.965264
170       4 -42.496421
171     -50 -50.414191
172       5   6.693687
173       2 -12.711083
174       2  -1.452543
175       6 -12.685303
176       4   4.510515
177       4   0.036052
178     -50 -34.404872
179     -50 -34.959417
180     -50 -42.395347
181     -50 -52.376003
182     -50 -50.478379
183       4   4.115814
184     -50  -9.432071
185       2  -7.797392
186       2 -35.818821
187       1   0.998288
188     -50 -50.529590
189       2   2.466363
190      10  -9.856335
191       4 -12.981985
192       2  -4.773431
193     -50 -20.740085
194       4 -10.537260
195     -50 -14.673327
196       2 -25.033000
197     -50 -49.550634
198     -50 -35.770525
199       2   0.901812
200      11 -10.004182
201       4  10.069293
202       4  -1.457498
203       0   5.690304
204     -50 -11.049434
205     -50 -16.351818
206     -50 -32.998525
207     -50 -47.466270
208     -50 -50.356174
209       5   4.751427
210       2 -10.300848
211       2  -8.047117
212       4 -24.102275
213       3  10.041279
214     -50 -40.142677
215     -50 -50.042622
216       6   9.684696
217       4  -4.862709
218       5  -2.314440
219     -50 -16.673956
220       6   5.010791
221     -50 -43.393281
222     -50 -27.069943
223     -50 -34.701915
224     -50 -51.143134
225     -50 -50.330467
226       3  -1.055115
227       2 -17.530399
228       5   9.196476
229       4   8.254478
230       1  -4.166732
231       0 -12.631144
232       4 -14.019821
233       2 -18.024923
234     -50 -33.367737
235     -50 -43.579980
236     -50 -50.500742
237     -50 -50.444161
238       3 -15.499066
239       2  -8.213104
240       2 -28.131241
241     -50 -47.309647
242       4  17.456473
243     -50 -50.082474
244     -50 -52.756083
245     -50  -8.442396
246       2   4.372820
247       4  10.526732
248     -50 -29.764911
249     -50 -45.001052
250       5   9.307958
251     -50 -11.646924
252       2 -42.307989
253      -1 -38.068356
254     -50 -50.446072
255       4  22.511878
256       5   2.571646
257       8   5.470636
258     -50 -20.998606
259     -50 -39.996323
260     -50 -13.770273
261     -50 -24.687702
262     -50 -50.337813
263       4  18.186145
264       5  12.971679
265       2  -5.070901
266       4 -21.074424
267     -50 -31.585455
268     -50 -19.631134
269       2 -17.323570
270     -50 -49.898861
271       6   7.157880
272       5  14.446210
273       8  -6.862793
274     -50 -11.592229
275     -50 -21.697904
276       8  -7.662432
277     -50 -30.815742
278       0 -29.266888
279      10   5.749827
280       6  -4.227968
281      -1 -13.509385
282       2  -4.219176
283       2  -6.893803
284       0  -7.134059
285     -50 -35.492607
286     -50 -35.075418
287       7 -19.442019
288       0 -25.977404
289     -50 -41.694508
290     -50 -50.364486
291     -50 -52.144955
292     -50 -50.426467
293      10   9.333249
294       4 -10.687948
295     -50 -36.115300
296      10  21.497153
297     -50 -50.112615
298     -50 -50.199294
299       6  -3.944155
300      10   7.942734
301       8   2.972069
302     -50 -17.184528
303       9   3.774166
304       2 -16.951775
305     -50 -17.835813
306     -50 -43.671756
307       0 -42.382375
308     -50 -50.336399
309       3  -7.132319
310       5  -0.026846
311     -50  10.967387
312       2 -15.490881
313       2  -4.942850
314       3   5.430426
315       1 -12.624097
316       3   0.048509
317     -50 -38.506188
318     -50 -47.507616
319      11  24.344387
320       1 -10.933277
321     -50 -37.718278
322     -50 -50.101912
323     -50 -25.887342
324       2 -14.154726
325     -50 -50.293222
326      12  20.728111
327       2   6.096919
328       2  -9.140284
329     -50   0.334013
330       2   5.569514
331       1 -16.591080
332     -50 -43.449320
333     -50 -50.419338
334       4  23.343474
335       6 -11.168904
336       0 -14.958140
337       4  -3.225302
338       2   4.778356
339       4   3.967796
340     -50 -26.758428
341       3 -13.292509
342     -50 -37.056299
343     -50 -51.414656
344     -50 -50.501019
345       3  35.871858
346       2 -11.193540
347       2   4.219043
348     -50 -50.418884
349      10  10.577109
350     -50 -50.061550
351     -50 -47.640040
352       7   2.805518
353       6  17.896345
354       6  13.706190
355       2  10.042930
356     -50 -32.859989
357     -50 -38.045516
358     -50 -49.559344
359     -50 -50.424922
360     -50 -57.028094
361       1   2.897231
362       5  31.246983
363       3   4.001196
364       3  -0.090700
365       3  -7.567759
366       2  -7.620433
367       2   5.090884
368       2 -16.242801
369     -50 -31.859573
370       0 -32.357077
371     -50 -38.394452
372     -50 -46.646059
373     -50 -50.486684
374       3  13.811840
375       1  -2.920272
376     -50 -48.774173
377     -50 -50.442463
378       2 -18.266818
379     -50 -32.990471
380      15  20.802054
381       3  -5.626810
382     -50 -13.319038
383       5 -10.989924
384     -50 -10.405544
385       6  -8.353423
386       0 -26.523259
387     -50 -50.983648
388     -50 -51.198249
389       8  12.120736
390       6   2.981392
391      17  -3.121912
392       7  -6.044353
393       2   4.047311
394       0 -33.072937
395       6   3.618926
396       4 -20.111713
397     -50 -25.325277
398     -50   6.693307
399     -50 -34.778896
400     -50 -40.865371
401     -50 -50.462915
402       3  -4.122742
403     -50 -49.913287
404       6   5.368690
405       2 -10.196059
406     -50  -3.452412
407       4  -2.611388
408       5  -8.069812
409     -50 -22.943401
410       2 -37.033482
411     -50 -23.418210
412      14   5.632052
413      12   6.716418
414       1  -8.276011
415       5 -18.490102
416       2 -11.825358
417     -50 -16.367251
418       2 -20.176189
419       5 -19.541789
420     -50 -32.052979
421       2 -35.654758
422     -50 -39.089824
423     -50 -38.646777
424     -50 -51.126625
425     -50 -50.461827
426      11 -10.431895
427     -50 -37.944282
428     -50 -42.936789
429       2 -18.852791
430     -50 -35.663645
431     -50 -52.303285
432       1   1.401364
433     -50 -35.499265
434     -50  11.317952
435     -50   6.759006
436     -50 -15.952269
437       6  -1.115811
438       3 -11.293504
439       4 -32.299942
440       2 -24.723004
441       4 -13.481242
442     -50 -37.107687
443       3   7.856472
444     -50   8.880494
445       2 -10.570851
446       4  15.820335
447       6  -5.259896
448       4  -9.641412
449       0  -9.448020
450     -50 -46.634346
451     -50 -34.909500
452     -50 -47.841680
453       2  11.021894
454       3  -7.890332
455       4  -9.667495
456       1 -33.598610
457     -50 -47.299835
458       7   9.793061
459     -50 -44.442314
460       6   8.749417
461     -50 -31.613538
462     -50 -16.380607
463       4   2.252777
464       1 -24.062517
465      -7 -25.194483
466     -50 -38.628268
467     -50 -28.428706
468       2 -31.216607
469       2  10.606920
470       2 -13.850143
471       2  -8.335382
472     -50 -10.232111
473       2  -9.028080
474     -50 -35.893380
475      -6 -16.158286
476       3 -18.733626
477     -50 -50.521672
478       2   9.105594
479       9  -2.818308
480       4  -9.193818
481     -50 -37.105699
482     -50 -40.346791
483       0 -45.610893
484     -50 -48.198448
485       9   3.326717
486     -50 -50.873994
487     -50 -51.155356
488      11   3.706865
489       5   5.466664
490     -50 -28.481879
491       7  -0.746234
492     -50 -36.851475
493     -50 -14.145431
494       2 -10.523721
495       5 -24.002927
496     -50 -39.907610
497     -50 -44.541284
498     -50 -50.352481
499       4  11.581848
500      10   2.975296
501       9  -2.851106
502      12  -1.414272
503       6 -19.273522
504       4  -8.977066
505       6  -3.899456
506     -50 -25.558031
507     -50 -50.359489
508     -50 -50.472961
509     -50 -15.340510
510       2  -4.313139
511       1 -14.840233
512     -50 -47.326880
513      11  -5.279325
514     -50 -50.304250
