Linear regression accuracy is --> 86.2111 %

    Actual Predicted
0        7        14
1      -50       -46
2        0        -5
3        4         3
4        7         0
5        7        -7
6      -50       -10
7      -50       -21
8      -50       -26
9      -50       -50
10     -50       -50
11     -50       -50
12       5        10
13       4       -11
14       3        -3
15       2       -13
16       2       -12
17       1        -8
18       2       -10
19     -50       -27
20     -50       -15
21     -50       -50
22     -50       -51
23      10        13
24       2        -7
25       4       -14
26       4       -12
27     -50       -43
28       5         2
29     -50       -50
30     -50       -50
31       3       -13
32       2       -15
33       7        -9
34      12       -12
35     -50       -12
36     -50       -27
37     -50       -48
38     -50       -45
39     -50       -51
40     -50       -22
41       2       -15
42       6        -9
43       5        -1
44       5       -20
45     -50       -29
46     -50       -17
47       2       -26
48       4       -21
49       0       -25
50     -50       -50
51       5        11
52      16        -3
53       3        11
54       3       -35
55       2       -15
56     -50       -36
57       3        -3
58     -50       -14
59       2        -4
60       2        -2
61     -50       -45
62       6       -37
63       5       -41
64       5        -4
65       5         4
66       2        -7
67     -50        -5
68       3       -24
69       3       -25
70     -50        -9
71       2       -16
72     -50       -50
73     -50       -51
74      10        27
75       1        -7
76     -50         4
77       3        -5
78     -50       -12
79       2        -5
80     -50       -50
81       5        -0
82       4         9
83     -50       -13
84     -50       -28
85     -50       -31
86       5        -2
87     -50       -35
88       2       -32
89     -50       -41
90      11        15
91       8        15
92       3         5
93       4         4
94     -50       -26
95     -50       -50
96     -50       -50
97      -4       -11
98       4        16
99      11       -11
100      4        -3
101      2        12
102    -50       -53
103    -50       -51
104    -50       -50
105      2       -21
106    -50       -27
107    -50       -50
108     -2        -3
109     -4       -14
110      2         7
111      5       -16
112    -50       -32
113      2       -35
114    -50       -46
115    -50       -44
116    -50       -51
117      2       -10
118      5         6
119      0       -18
120      2         6
121      1       -17
122     -1        -9
123    -50       -20
124    -50       -11
125    -50       -34
126      3       -29
127      2       -29
128    -50       -52
129    -50       -36
130      3       -18
131    -50       -44
132    -50       -45
133      3         4
134    -50       -50
135    -50       -18
136    -50       -20
137      1         3
138      1       -10
139    -50       -16
140      4       -22
141    -50       -35
142      1       -33
143    -50       -33
144      2         7
145      2         5
146      4       -18
147      2       -14
148      1        -1
149      0        -6
150      1        -8
151    -50       -38
152    -50       -42
153    -50       -38
154    -50       -44
155    -50       -51
156    -50       -51
157      9         6
158      5       -24
159      1         0
160      2        -0
161    -50       -48
162    -50       -50
163      9         0
164    -50       -51
165      7        15
166      5         1
167     10         5
168    -50       -14
169      5         1
170      4       -42
171    -50       -50
172      5         7
173      2       -13
174      2        -1
175      6       -13
176      4         5
177      4         0
178    -50       -34
179    -50       -35
180    -50       -42
181    -50       -52
182    -50       -50
183      4         4
184    -50        -9
185      2        -8
186      2       -36
187      1         1
188    -50       -51
189      2         2
190     10       -10
191      4       -13
192      2        -5
193    -50       -21
194      4       -11
195    -50       -15
196      2       -25
197    -50       -50
198    -50       -36
199      2         1
200     11       -10
201      4        10
202      4        -1
203      0         6
204    -50       -11
205    -50       -16
206    -50       -33
207    -50       -47
208    -50       -50
209      5         5
210      2       -10
211      2        -8
212      4       -24
213      3        10
214    -50       -40
215    -50       -50
216      6        10
217      4        -5
218      5        -2
219    -50       -17
220      6         5
221    -50       -43
222    -50       -27
223    -50       -35
224    -50       -51
225    -50       -50
226      3        -1
227      2       -18
228      5         9
229      4         8
230      1        -4
231      0       -13
232      4       -14
233      2       -18
234    -50       -33
235    -50       -44
236    -50       -51
237    -50       -50
238      3       -15
239      2        -8
240      2       -28
241    -50       -47
242      4        17
243    -50       -50
244    -50       -53
245    -50        -8
246      2         4
247      4        11
248    -50       -30
249    -50       -45
250      5         9
251    -50       -12
252      2       -42
253     -1       -38
254    -50       -50
255      4        23
256      5         3
257      8         5
258    -50       -21
259    -50       -40
260    -50       -14
261    -50       -25
262    -50       -50
263      4        18
264      5        13
265      2        -5
266      4       -21
267    -50       -32
268    -50       -20
269      2       -17
270    -50       -50
271      6         7
272      5        14
273      8        -7
274    -50       -12
275    -50       -22
276      8        -8
277    -50       -31
278      0       -29
279     10         6
280      6        -4
281     -1       -14
282      2        -4
283      2        -7
284      0        -7
285    -50       -35
286    -50       -35
287      7       -19
288      0       -26
289    -50       -42
290    -50       -50
291    -50       -52
292    -50       -50
293     10         9
294      4       -11
295    -50       -36
296     10        21
297    -50       -50
298    -50       -50
299      6        -4
300     10         8
301      8         3
302    -50       -17
303      9         4
304      2       -17
305    -50       -18
306    -50       -44
307      0       -42
308    -50       -50
309      3        -7
310      5        -0
311    -50        11
312      2       -15
313      2        -5
314      3         5
315      1       -13
316      3         0
317    -50       -39
318    -50       -48
319     11        24
320      1       -11
321    -50       -38
322    -50       -50
323    -50       -26
324      2       -14
325    -50       -50
326     12        21
327      2         6
328      2        -9
329    -50         0
330      2         6
331      1       -17
332    -50       -43
333    -50       -50
334      4        23
335      6       -11
336      0       -15
337      4        -3
338      2         5
339      4         4
340    -50       -27
341      3       -13
342    -50       -37
343    -50       -51
344    -50       -51
345      3        36
346      2       -11
347      2         4
348    -50       -50
349     10        11
350    -50       -50
351    -50       -48
352      7         3
353      6        18
354      6        14
355      2        10
356    -50       -33
357    -50       -38
358    -50       -50
359    -50       -50
360    -50       -57
361      1         3
362      5        31
363      3         4
364      3        -0
365      3        -8
366      2        -8
367      2         5
368      2       -16
369    -50       -32
370      0       -32
371    -50       -38
372    -50       -47
373    -50       -50
374      3        14
375      1        -3
376    -50       -49
377    -50       -50
378      2       -18
379    -50       -33
380     15        21
381      3        -6
382    -50       -13
383      5       -11
384    -50       -10
385      6        -8
386      0       -27
387    -50       -51
388    -50       -51
389      8        12
390      6         3
391     17        -3
392      7        -6
393      2         4
394      0       -33
395      6         4
396      4       -20
397    -50       -25
398    -50         7
399    -50       -35
400    -50       -41
401    -50       -50
402      3        -4
403    -50       -50
404      6         5
405      2       -10
406    -50        -3
407      4        -3
408      5        -8
409    -50       -23
410      2       -37
411    -50       -23
412     14         6
413     12         7
414      1        -8
415      5       -18
416      2       -12
417    -50       -16
418      2       -20
419      5       -20
420    -50       -32
421      2       -36
422    -50       -39
423    -50       -39
424    -50       -51
425    -50       -50
426     11       -10
427    -50       -38
428    -50       -43
429      2       -19
430    -50       -36
431    -50       -52
432      1         1
433    -50       -35
434    -50        11
435    -50         7
436    -50       -16
437      6        -1
438      3       -11
439      4       -32
440      2       -25
441      4       -13
442    -50       -37
443      3         8
444    -50         9
445      2       -11
446      4        16
447      6        -5
448      4       -10
449      0        -9
450    -50       -47
451    -50       -35
452    -50       -48
453      2        11
454      3        -8
455      4       -10
456      1       -34
457    -50       -47
458      7        10
459    -50       -44
460      6         9
461    -50       -32
462    -50       -16
463      4         2
464      1       -24
465     -7       -25
466    -50       -39
467    -50       -28
468      2       -31
469      2        11
470      2       -14
471      2        -8
472    -50       -10
473      2        -9
474    -50       -36
475     -6       -16
476      3       -19
477    -50       -51
478      2         9
479      9        -3
480      4        -9
481    -50       -37
482    -50       -40
483      0       -46
484    -50       -48
485      9         3
486    -50       -51
487    -50       -51
488     11         4
489      5         5
490    -50       -28
491      7        -1
492    -50       -37
493    -50       -14
494      2       -11
495      5       -24
496    -50       -40
497    -50       -45
498    -50       -50
499      4        12
500     10         3
501      9        -3
502     12        -1
503      6       -19
504      4        -9
505      6        -4
506    -50       -26
507    -50       -50
508    -50       -50
509    -50       -15
510      2        -4
511      1       -15
512    -50       -47
513     11        -5
514    -50       -50
515      8        -1
516    -50       -12
517    -50       -32
518      4        -9
519    -50       -29
520    -50       -22
521      6       -15
522      3       -36
523      6       -39
524      6        13
525      5       -11
526      6        -4
527      4       -14
528      3       -15
529      2       -10
530    -50       -40
531      2       -20
532      2       -35
533    -50       -50
534    -50       -50
535    -50       -11
536    -50       -15
537      2       -13
538      2       -32
539    -50       -52
