Logistic regression accuracy is --> 73.5574 %

     Actual  Predicted
0         7        -50
1       -50        -50
2         0        -50
3         4        -50
4         7        -50
5         7        -50
6       -50        -50
7       -50        -50
8       -50        -50
9       -50        -50
10      -50        -50
11      -50        -50
12        5        -50
13        4        -50
14        3        -50
15        2        -50
16        2        -50
17        1        -50
18        2        -50
19      -50        -50
20      -50        -50
21      -50        -50
22      -50        -50
23       10          2
24        2        -50
25        4        -50
26        4        -50
27      -50        -50
28        5        -50
29      -50        -50
30      -50        -50
31        3        -50
32        2          5
33        7        -50
34       12        -50
35      -50          2
36      -50          2
37      -50        -50
38      -50        -50
39      -50        -50
40      -50          2
41        2          5
42        6          5
43        5        -50
44        5          2
45      -50        -50
46      -50        -50
47        2        -50
48        4        -50
49        0        -50
50      -50        -50
51        5          2
52       16        -50
53        3          2
54        3        -50
55        2        -50
56      -50        -50
57        3        -50
58      -50        -50
59        2        -50
60        2        -50
61      -50        -50
62        6        -50
63        5        -50
64        5          2
65        5        -50
66        2        -50
67      -50          2
68        3        -50
69        3          2
70      -50        -50
71        2        -50
72      -50        -50
73      -50        -50
74       10          9
75        1          4
76      -50          2
77        3          2
78      -50        -50
79        2          2
80      -50        -50
81        5        -50
82        4        -50
83      -50        -50
84      -50        -50
85      -50          2
86        5        -50
87      -50        -50
88        2        -50
89      -50        -50
90       11          2
91        8          2
92        3          2
93        4          2
94      -50        -50
95      -50        -50
96      -50        -50
97       -4          2
98        4          2
99       11          2
100       4          2
101       2        -50
102     -50        -50
103     -50        -50
104     -50        -50
105       2        -50
106     -50        -50
107     -50        -50
108      -2          2
109      -4        -50
110       2        -50
111       5        -50
112     -50        -50
113       2        -50
114     -50        -50
115     -50        -50
116     -50        -50
117       2          2
118       5        -50
119       0          2
120       2        -50
121       1        -50
122      -1        -50
123     -50          2
124     -50        -50
125     -50          2
126       3        -50
127       2        -50
128     -50        -50
129     -50          2
130       3        -50
131     -50        -50
132     -50        -50
133       3        -50
134     -50        -50
135     -50        -50
136     -50        -50
137       1        -50
138       1        -50
139     -50        -50
140       4        -50
141     -50        -50
142       1        -50
143     -50        -50
144       2        -50
145       2        -50
146       4        -50
147       2        -50
