Logistic regression accuracy is --> 68.2209 %

     Actual  Predicted
0         7        -50
1       -50        -50
2         0        -50
3         4        -50
4         7        -50
5         7        -50
6       -50        -50
7       -50        -50
8       -50        -50
9         5        -50
10        4        -50
11        3        -50
12        2        -50
13        2        -50
14        1        -50
15        2        -50
16      -50        -50
17      -50        -50
18       10          2
19        2        -50
20        4        -50
21        4        -50
22        5          2
23        3          2
24        2          5
25        7        -50
26       12        -50
27      -50          2
28      -50          2
29      -50        -50
30      -50          2
31        2         14
32        6          5
33        5          2
34        5          2
35      -50        -50
36      -50        -50
37        2        -50
38        4        -50
39        0        -50
40        5          2
41       16        -50
42        3          6
43        3        -50
44        2          2
45      -50        -50
46        3        -50
47      -50          2
48        2        -50
49        2        -50
50        6        -50
51        5        -50
52        5          2
53        5        -50
54        2        -50
55      -50          2
56        3        -50
57        3          2
58      -50        -50
59        2        -50
60      -50        -50
61       10          9
62        1         -6
63      -50          2
64        3          2
65      -50        -50
66        2          5
67        5        -50
68        4          6
69      -50        -50
70      -50        -50
71      -50          2
72        5        -50
73        2        -50
74      -50        -50
75       11          2
76        8          2
77        3          2
78        4          2
79      -50        -50
80       -4          2
81        4          2
82       11          2
83        4          2
84        2        -50
85        2        -50
86      -50        -50
87       -2          2
88       -4        -50
89        2        -50
90        5        -50
91      -50        -50
92        2        -50
93      -50        -50
94        2          2
95        5          2
96        0          2
97        2        -50
98        1        -50
99       -1        -50
100     -50          2
101     -50        -50
102     -50          2
103       3        -50
104       2        -50
105     -50          4
106       3        -50
107       3        -50
108     -50        -50
109     -50        -50
110       1        -50
111       1        -50
112     -50        -50
113       4        -50
114     -50        -50
115       1        -50
116     -50        -50
117       2        -50
118       2        -50
119       4        -50
120       2        -50
121       1        -50
122       0        -50
123       1        -50
124     -50        -50
125       9        -50
126       5        -50
127       1        -50
128       2        -50
129       9        -50
130       7        -50
131       5        -50
132      10        -50
133     -50        -50
134       5        -50
135       4        -50
136       5        -50
137       2        -50
138       2        -50
139       6        -50
140       4        -50
141       4        -50
142     -50        -50
143     -50        -50
144       4          9
145     -50        -50
146       2        -50
147       2        -50
148       1        -50
149       2        -50
150      10        -50
151       4        -50
