Linear regression accuracy is --> 83.5122 %

     Actual  Predicted
0         7  15.193451
1       -50 -44.688067
2         0  -5.270944
3         4   2.141051
4         7   2.007201
5         7  -6.500108
6       -50  -9.177271
7       -50 -19.525156
8       -50 -23.795282
9         5   9.076596
10        4  -9.447334
11        3  -4.675674
12        2 -14.786560
13        2  -8.008705
14        1  -8.244276
15        2  -5.356904
16      -50 -25.977556
17      -50 -14.022131
18       10  11.578743
19        2  -7.384544
20        4 -13.573086
21        4 -10.368863
22        5   2.216141
23        3 -13.829743
24        2 -14.923652
25        7 -10.094162
26       12  -7.443959
27      -50 -13.243706
28      -50 -27.491974
29      -50 -41.182351
30      -50 -21.854204
31        2 -14.402838
32        6  -8.997184
33        5  -1.022418
34        5 -13.712107
35      -50 -24.998032
36      -50 -14.846677
37        2 -22.607446
38        4 -16.665635
39        0 -25.978794
40        5  10.745679
41       16  -2.887177
42        3  10.490117
43        3 -30.620589
44        2 -15.577462
45      -50 -31.317565
46        3  -3.628459
47      -50 -12.912773
48        2  -5.764884
49        2  -2.725502
50        6 -31.705050
51        5 -36.313064
52        5  -5.340431
53        5   2.904199
54        2  -7.746253
55      -50  -6.075925
56        3 -20.545255
57        3 -18.582352
58      -50  -8.215886
59        2 -11.106468
60      -50 -46.980805
61       10  26.577623
62        1  -6.453097
63      -50   2.196026
64        3  -5.399698
65      -50 -13.158728
66        2  -3.777636
67        5  -1.370365
68        4   9.272185
69      -50 -10.535652
70      -50 -27.047898
71      -50 -30.568910
72        5  -4.101254
73        2 -28.713175
74      -50 -35.461453
75       11  14.270572
76        8  13.886147
77        3   2.703878
78        4   2.988521
79      -50 -22.908248
80       -4 -10.336175
81        4  15.348885
82       11  -8.345811
83        4  -2.797902
84        2  10.843154
85        2 -19.510712
86      -50 -24.652147
87       -2  -3.177691
88       -4 -12.507808
89        2   5.241912
90        5 -16.446549
91      -50 -28.427667
92        2 -31.857777
93      -50 -38.313916
94        2 -10.460450
95        5   6.761886
96        0 -15.866921
97        2   7.715188
98        1 -13.176421
99       -1  -8.923582
100     -50 -21.358364
101     -50 -12.021009
102     -50 -30.334924
103       3 -28.268680
104       2 -25.775315
105     -50 -34.148381
106       3 -16.229758
107       3   3.526325
108     -50 -18.977619
109     -50 -20.633758
110       1   2.852803
111       1 -11.892304
112     -50 -10.203247
113       4 -20.455616
114     -50 -32.514601
115       1 -28.798035
116     -50 -27.288297
117       2   5.346853
118       2   4.609936
119       4 -14.176037
120       2 -14.025017
121       1   0.176461
122       0  -4.141966
123       1  -7.892992
124     -50 -38.593881
125       9   5.250395
126       5 -20.232129
127       1  -0.959718
128       2  -1.672162
129       9   0.477925
130       7  13.666636
131       5   0.192728
132      10   4.687610
133     -50 -10.269907
134       5  -0.121769
135       4 -37.817073
136       5   5.788460
137       2 -10.999197
138       2  -1.667930
139       6 -11.622448
140       4   4.348509
141       4   0.285513
142     -50 -31.688120
143     -50 -38.908387
144       4   3.714068
145     -50 -10.257469
146       2  -9.019506
147       2 -34.942334
148       1  -0.003690
149       2   1.996726
150      10  -8.933116
151       4 -13.124153
152       2  -5.577805
153     -50 -17.256083
154       4  -9.399711
155     -50 -14.444214
156       2 -21.099879
157       2   0.457833
158      11  -8.768720
159       4   8.917511
160       4   0.229605
161       0   4.545195
162     -50 -11.396627
163     -50 -10.237977
164     -50 -29.992983
165       5   4.063695
166       2  -8.326741
167       2  -8.660689
168       4 -20.987338
169       3   8.277201
170       6   8.957724
171       4  -3.558350
172       5  -3.641406
173     -50 -16.339372
174       6   4.181953
175     -50 -23.675491
176     -50 -31.003294
177       3  -1.461754
178       2 -15.674772
179       5   8.026097
180       4   7.616922
181       1  -4.886816
182       0 -12.118582
183       4 -14.043677
184       2 -14.199164
185     -50 -29.503472
186       3 -14.787695
187       2  -9.294265
188       2 -22.914441
189       4  16.587600
190     -50  -9.072512
191       2   3.198299
192       4   9.553905
193     -50 -26.993897
194     -50 -43.161246
195       5   7.869000
196     -50  -8.560911
197       2 -40.891491
198      -1 -34.047578
199       4  23.838514
200       5   1.680355
201       8   3.433061
202     -50 -22.095014
203     -50 -13.785123
204     -50 -20.569633
205       4  17.006997
206       5  12.018780
207       2  -2.016787
208       4 -17.743887
209     -50 -28.527317
210     -50 -14.139791
211       2 -20.530805
212       6   6.197365
213       5  11.153888
214       8  -5.626257
215     -50 -11.561244
216     -50 -20.658623
217       8  -8.145866
218       0 -23.163484
219      10   5.697667
220       6  -5.502018
221      -1 -13.083039
222       2  -4.918267
223       2  -7.313542
224       0  -7.417720
225     -50 -34.246771
226       7 -17.461664
227       0 -21.571087
228      10   8.339067
229       4 -11.168094
230     -50 -32.911228
231      10  21.094972
232       6  -3.141603
233      10   5.913252
234       8   1.752417
235     -50 -16.358866
236       9   2.468320
237       2 -18.778312
238     -50 -17.374903
239       0 -37.721091
240       3  -7.275933
241       5  -1.326500
242     -50   9.976766
243       2 -11.612554
244       2  -5.765143
245       3   4.966016
246       1 -13.945740
247       3   1.466789
248      11  22.603841
249       1  -6.900403
250     -50 -34.770888
251     -50 -22.789116
252       2 -14.584419
253      12  20.713379
254       2   5.294835
255       2  -7.964942
256     -50  -0.900975
257       2   7.390083
258       1 -16.898312
259       4  22.106440
260       6  -9.265249
261       0 -13.243511
262       4  -3.964372
263       2   3.897523
264       4   3.358580
265     -50 -23.273526
266       3 -14.526061
267     -50 -34.107737
268       3  34.121300
269       2 -11.470887
270       2   5.211247
271      10  10.224579
272       7   1.624542
273       6  15.390759
274       6  12.893829
275       2   8.915103
276     -50 -33.760585
277     -50 -32.597302
278       1   2.441565
279       5  29.192726
280       3   2.817619
281       3  -0.796668
282       3  -5.926783
283       2  -7.505325
284       2   3.642858
285       2 -16.738674
286       0 -28.236160
287     -50 -42.551290
288       3  12.978676
289       1   0.933520
290       2 -19.180533
291     -50 -28.869595
292      15  18.666599
293       3  -5.807488
294     -50 -14.141217
295       5 -10.780344
296     -50  -9.743458
297       6  -9.037258
298       0 -24.584444
299       8  11.927079
300       6   2.456270
301      17  -2.342862
302       7  -4.395222
303       2   3.329394
304       6   3.331155
305       4 -19.550573
306     -50 -20.306224
307     -50   5.239478
308     -50 -33.887949
309       3  -3.848000
310       6   3.484320
311       2  -9.124692
312     -50  -4.657626
313       4  -4.569135
314       5  -6.485240
315     -50 -20.524467
316       2 -32.158260
317      14   5.448654
318      12   6.971919
319       1  -8.575807
320       5 -14.709795
321       2  -8.237399
322     -50 -15.499686
323       2 -19.182191
324       5 -16.280416
325     -50 -28.345346
326       2 -35.213852
327     -50 -37.328147
328      11  -8.592229
329       2 -19.980526
330     -50 -34.992592
331       1  -0.307586
332     -50  11.790295
333     -50   4.688933
334     -50 -14.583022
335       6   0.102863
336       3 -12.928630
337       4 -29.412983
338       2 -24.124025
339       4 -15.663545
340       3   7.166191
341     -50   9.678362
342       2 -11.759910
343       4  15.133227
344       6  -3.064525
345       4  -8.014435
346       0  -9.792270
347     -50 -31.558550
348       2  10.659603
349       3  -8.901897
350       4  -8.752825
351       1 -28.668933
352       7  10.769805
353     -50 -42.914195
354       6   7.982108
355     -50 -28.236591
356     -50 -15.194413
357       4   1.405543
358       1 -20.338000
359      -7 -19.135952
360     -50 -38.533061
361     -50 -28.915283
362       2 -25.752311
363       2   8.584246
364       2 -14.412771
365       2  -7.108885
366     -50 -11.039727
367       2  -9.778977
368      -6 -16.447651
369       3 -15.732288
370       2   8.071180
371       9  -3.902338
372       4  -5.382826
373     -50 -34.033420
374     -50 -37.724262
375       0 -42.613356
376       9   3.247491
377      11   2.199375
378       5   4.593370
379     -50 -25.278598
380       7   0.008561
381     -50 -33.021044
382     -50 -15.115879
383       2  -8.534825
384       5 -23.639144
385     -50 -36.697831
386       4  10.534269
387      10   3.260153
388       9  -3.693711
389      12  -2.592390
390       6 -17.521892
391       4  -7.263509
392       6  -2.151613
393     -50 -19.961890
394     -50 -14.949032
395       2  -5.596015
396       1 -13.405038
397      11  -4.641053
398       8   0.930872
399     -50 -12.509034
400     -50 -25.913748
401       4 -10.066212
402     -50 -27.969741
403     -50 -20.129238
404       6 -15.681908
405       3 -30.732369
406       6 -36.486628
407       6  11.790356
408       5  -9.171264
409       6  -3.980719
410       4 -10.332223
411       3 -14.316489
412       2 -10.042573
413     -50 -36.874838
414       2 -20.590377
415       2 -29.038186
416     -50 -46.961999
417     -50 -10.640772
418     -50 -14.987219
419       2 -14.071505
420       2 -26.424595
